CAD_E|CASLU10011084|CASLU2010009838|MANUELA|20101220191837|FSC|FIRE, COMMERCIAL|-120.522641|35.157087|773 MANUELA WAY |SLO_CO|2999 BLK BRANCH MILL RD| DEAD-END|695_G_7/12_T32S_R13E_M||||E21,BS62,B3416,E6696,WT21,P3421//12/21/2010 12:00:20 AM
CAD_U|CABEU|E4685|AIQ|20100802090450|BEU-30|||//12/21/2010 12:30:38 AM
CAD_U|CABEU|E4685|AIQ|20100802090450|BEU-30|||//12/21/2010 12:30:38 AM
CAD_U|CABEU|E4691|AIQ|20100711114712|BEU-30|||//12/21/2010 12:30:39 AM
CAD_U|CABEU|E4691|AIQ|20100711114712|BEU-30|||//12/21/2010 12:30:39 AM
CAD_U|CABEU|E4691|AIQ|20100711114712|BEU-30|||//12/21/2010 12:30:39 AM
CAD_U|CABEU|E4693|AIQ|20100717203928|BEU-30|||//12/21/2010 12:30:40 AM
CAD_U|CABEU|E4693|AIQ|20100717203928|BEU-30|||//12/21/2010 12:30:40 AM
CAD_U|CABEU|E4693|AIQ|20100717203928|BEU-30|||//12/21/2010 12:30:40 AM
CAD_U|CABEU|E4694|AIQ|20101106122832|BEU-30|||//12/21/2010 12:30:41 AM
CAD_U|CABEU|E4694|AIQ|20101106122832|BEU-30|||//12/21/2010 12:30:41 AM
CAD_U|CABEU|GAB1|AIQ|20100810072045|BEU-30|||//12/21/2010 12:30:42 AM
CAD_U|CABEU|GAB1|AIQ|20100810072045|BEU-30|||//12/21/2010 12:30:42 AM
CAD_U|CABEU|GAB1|AIQ|20100810072045|BEU-30|||//12/21/2010 12:30:42 AM
CAD_U|CABEU|GAB2|AIQ|20100809075208|BEU-30|||//12/21/2010 12:30:43 AM
CAD_U|CABEU|GAB2|AIQ|20100809075208|BEU-30|||//12/21/2010 12:30:43 AM
CAD_U|CABEU|GAB2|AIQ|20100809075208|BEU-30|||//12/21/2010 12:30:43 AM
CAD_U|CABEU|GAB3|AIQ|20100803211550|BEU-30|||//12/21/2010 12:30:44 AM
CAD_U|CABEU|GAB3|AIQ|20100803211550|BEU-30|||//12/21/2010 12:30:44 AM
CAD_U|CABEU|GAB3|AIQ|20100803211550|BEU-30|||//12/21/2010 12:30:45 AM
CAD_U|CABEU|GAB4|AIQ|20100809080132|BEU-30|||//12/21/2010 12:30:46 AM
CAD_U|CABEU|GAB4|AIQ|20100809080132|BEU-30|||//12/21/2010 12:30:46 AM
CAD_U|CABEU|GAB4|AIQ|20100809080132|BEU-30|||//12/21/2010 12:30:46 AM
CAD_U|CABEU|GAB5|AIQ|20100810072317|BEU-30|||//12/21/2010 12:30:47 AM
CAD_U|CABEU|GAB5|AIQ|20100810072317|BEU-30|||//12/21/2010 12:30:47 AM
CAD_U|CABEU|GAB5|AIQ|20100810072317|BEU-30|||//12/21/2010 12:30:47 AM
CAD_U|CABEU|GAB6|AIQ|20100803072441|BEU-30|||//12/21/2010 12:30:48 AM
CAD_U|CABEU|GAB6|AIQ|20100803072441|BEU-30|||//12/21/2010 12:30:48 AM
CAD_U|CABEU|GAB6|AIQ|20100803072441|BEU-30|||//12/21/2010 12:30:48 AM
CAD_U|CABEU|HLT406|AIQ|20100709074820|BEU-30|||//12/21/2010 12:30:49 AM
CAD_U|CABEU|HLT406|AIQ|20100709074820|BEU-30|||//12/21/2010 12:30:49 AM
CAD_U|CABEU|HLT406|AIQ|20100709074820|BEU-30|||//12/21/2010 12:30:49 AM
CAD_U|CACDF|T80|AIQ|20101106122813|HAAB|||//12/21/2010 12:30:49 AM
CAD_U|CACDF|T80|AIQ|20101106122813|HAAB|||//12/21/2010 12:30:49 AM
CAD_U|CACDF|T81|AIQ|20101106122816|HAAB|||//12/21/2010 12:30:49 AM
CAD_U|CACDF|T81|AIQ|20101106122816|HAAB|||//12/21/2010 12:30:49 AM
CAD_U|CASLC|E212|AOR|20101221003804|A-36B|||//12/21/2010 12:38:04 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/21/2010 12:39:58 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/21/2010 12:39:58 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/21/2010 12:39:58 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/21/2010 12:40:04 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/21/2010 12:40:04 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/21/2010 12:40:04 AM
CAD_U|CASLC|E212|AIQ|20101221004342|A-36B|||//12/21/2010 12:43:42 AM
CAD_U|CASLC|E12|AIQ|20101220173719|A-36B|||//12/21/2010 12:44:19 AM
CAD_U|CABEU|D4643|AIQ|20101220075540|BEU-30|||//12/21/2010 12:48:06 AM
CAD_U|CABEU|D4643|AIQ|20101220075540|BEU-30|||//12/21/2010 12:48:06 AM
CAD_U|CABEU|D4643|AIQ|20101220075540|BEU-30|||//12/21/2010 12:48:06 AM
CAD_U|CABEU|E4673|AIQ|20101219072139|BEU-30|||//12/21/2010 12:48:07 AM
CAD_U|CABEU|E4673|AIQ|20101219072139|BEU-30|||//12/21/2010 12:48:07 AM
CAD_U|CABEU|E4673|AIQ|20101219072139|BEU-30|||//12/21/2010 12:48:07 AM
CAD_U|CABEU|E4691|AIQ|20101220090321|BEU-30|||//12/21/2010 12:48:09 AM
CAD_U|CABEU|E4691|AIQ|20101220090321|BEU-30|||//12/21/2010 12:48:09 AM
CAD_U|CABEU|E4691|AIQ|20101220090321|BEU-30|||//12/21/2010 12:48:09 AM
CAD_U|CABEU|GAB1|AIQ|20101220071236|BEU-30|||//12/21/2010 12:48:10 AM
CAD_U|CABEU|GAB1|AIQ|20101220071236|BEU-30|||//12/21/2010 12:48:10 AM
CAD_U|CABEU|GAB1|AIQ|20101220071236|BEU-30|||//12/21/2010 12:48:10 AM
CAD_U|CABEU|GAB3|AIQ|20101220071415|BEU-30|||//12/21/2010 12:48:11 AM
CAD_U|CABEU|GAB3|AIQ|20101220071415|BEU-30|||//12/21/2010 12:48:11 AM
CAD_U|CABEU|GAB3|AIQ|20101220071415|BEU-30|||//12/21/2010 12:48:11 AM
CAD_U|CABEU|GAB4|AIQ|20101220071502|BEU-30|||//12/21/2010 12:48:12 AM
CAD_U|CABEU|GAB4|AIQ|20101220071502|BEU-30|||//12/21/2010 12:48:12 AM
CAD_U|CABEU|GAB4|AIQ|20101220071502|BEU-30|||//12/21/2010 12:48:12 AM
CAD_U|CABEU|GAB5|AIQ|20101219070610|BEU-30|||//12/21/2010 12:48:13 AM
CAD_U|CABEU|GAB5|AIQ|20101219070610|BEU-30|||//12/21/2010 12:48:13 AM
CAD_U|CABEU|GAB5|AIQ|20101219070610|BEU-30|||//12/21/2010 12:48:13 AM
CAD_U|CAFKU|E4352|AIQ|20101116123428|FKU-2|||//12/21/2010 12:48:14 AM
CAD_U|CAFKU|E4352|AIQ|20101116123428|FKU-2|||//12/21/2010 12:48:14 AM
CAD_U|CAFKU|E4352|AIQ|20101116123428|FKU-2|||//12/21/2010 12:48:14 AM
CAD_U|CAFKU|E4353|AIQ|20101220072600|FKU-2|||//12/21/2010 12:48:15 AM
CAD_U|CAFKU|E4353|AIQ|20101220072600|FKU-2|||//12/21/2010 12:48:15 AM
CAD_U|CAFKU|E4353|AIQ|20101220072600|FKU-2|||//12/21/2010 12:48:15 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/21/2010 12:48:16 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/21/2010 12:48:16 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/21/2010 12:48:16 AM
CAD_U|CAFKU|E4363|AIQ|20100819212028|FKU-2|||//12/21/2010 12:48:17 AM
CAD_U|CAFKU|E4363|AIQ|20100819212028|FKU-2|||//12/21/2010 12:48:17 AM
CAD_U|CAFKU|E4363|AIQ|20100819212028|FKU-2|||//12/21/2010 12:48:17 AM
CAD_U|CAFKU|E4391|AIQ|20101214151158|FKU-2|||//12/21/2010 12:48:19 AM
CAD_U|CAFKU|E4391|AIQ|20101214151158|FKU-2|||//12/21/2010 12:48:19 AM
CAD_U|CAFKU|E4391|AIQ|20101214151158|FKU-2|||//12/21/2010 12:48:19 AM
CAD_U|CAFKU|MIR3|AIQ|20101220081410|FKU-1A|||//12/21/2010 12:48:20 AM
CAD_U|CAFKU|MIR3|AIQ|20101220081410|FKU-1A|||//12/21/2010 12:48:20 AM
CAD_U|CAFKU|MIR3|AIQ|20101220081410|FKU-1A|||//12/21/2010 12:48:20 AM
CAD_U|CAFKU|MIR4|AIQ|20101220081413|FKU-2|||//12/21/2010 12:48:21 AM
CAD_U|CAFKU|MIR4|AIQ|20101220081413|FKU-2|||//12/21/2010 12:48:21 AM
CAD_U|CAFKU|MIR4|AIQ|20101220081413|FKU-2|||//12/21/2010 12:48:21 AM
CAD_E|CASLU10011084|CASLU2010009838|MANUELA|20101220191837|FSC|FIRE, COMMERCIAL|-120.522641|35.157087|773 MANUELA WAY |SLO_CO|2999 BLK BRANCH MILL RD| DEAD-END|695_G_7/12_T32S_R13E_M||||WT21,P3421//12/21/2010 12:54:44 AM
CAD_U|CASLU|B3416|AIQ|20101221005443|A-22A|||//12/21/2010 12:54:44 AM
CAD_E|CASLU10011084|CASLU2010009838|MANUELA|20101220191837|FSC|FIRE, COMMERCIAL|-120.522641|35.157087|773 MANUELA WAY |SLO_CO|2999 BLK BRANCH MILL RD| DEAD-END|695_G_7/12_T32S_R13E_M||||P3421//12/21/2010 12:54:49 AM
CAD_U|CASLC|WT21|AIQ|20101221005448|A-22A|||//12/21/2010 12:54:49 AM
CAD_U|CAFKU|E4352|AIQ|20101116123428|FKU-2|||//12/21/2010 12:55:28 AM
CAD_U|CAFKU|E4352|AIQ|20101116123428|FKU-2|||//12/21/2010 12:55:28 AM
CAD_U|CAFKU|E4352|AIQ|20101116123428|FKU-2|||//12/21/2010 12:55:28 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/21/2010 1:15:46 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/21/2010 1:15:46 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/21/2010 1:15:46 AM
CAD_U|CACDF|C406|AIQ|20100811114507|BVHB|||//12/21/2010 1:20:15 AM
CAD_U|CACDF|C406|AIQ|20100811114507|BVHB|||//12/21/2010 1:20:15 AM
CAD_U|CABEU|D4641|AIQ|20100721171102|BEU-30|||//12/21/2010 1:20:19 AM
CAD_U|CABEU|D4641|AIQ|20100721171102|BEU-30|||//12/21/2010 1:20:19 AM
CAD_U|CABEU|D4641|AIQ|20100721171102|BEU-30|||//12/21/2010 1:20:19 AM
CAD_U|CABEU|D4643|AIQ|20100726075237|BEU-30|||//12/21/2010 1:20:20 AM
CAD_U|CABEU|D4643|AIQ|20100726075237|BEU-30|||//12/21/2010 1:20:20 AM
CAD_U|CABEU|D4643|AIQ|20100726075237|BEU-30|||//12/21/2010 1:20:20 AM
CAD_U|CABEU|D4645|AIQ|20100810083056|BEU-30|||//12/21/2010 1:20:21 AM
CAD_U|CABEU|D4645|AIQ|20100810083056|BEU-30|||//12/21/2010 1:20:21 AM
CAD_U|CABEU|D4645|AIQ|20100810083056|BEU-30|||//12/21/2010 1:20:21 AM
CAD_U|CABEU|E4656|AIQ|20100717163742|BEU-30|||//12/21/2010 1:20:22 AM
CAD_U|CABEU|E4656|AIQ|20100717163742|BEU-30|||//12/21/2010 1:20:22 AM
CAD_U|CABEU|E4656|AIQ|20100717163742|BEU-30|||//12/21/2010 1:20:22 AM
CAD_U|CABEU|E4660|AIQ|20100621080844|BEU-30|||//12/21/2010 1:20:23 AM
CAD_U|CABEU|E4660|AIQ|20100621080844|BEU-30|||//12/21/2010 1:20:23 AM
CAD_U|CABEU|E4660|AIQ|20100621080844|BEU-30|||//12/21/2010 1:20:23 AM
CAD_U|CABEU|E4661|AIQ|20100621080612|BEU-30|||//12/21/2010 1:20:24 AM
CAD_U|CABEU|E4661|AIQ|20100621080612|BEU-30|||//12/21/2010 1:20:25 AM
CAD_U|CABEU|E4661|AIQ|20100621080612|BEU-30|||//12/21/2010 1:20:25 AM
CAD_U|CABEU|E4663|AIQ|20100716204059|BEU-30|||//12/21/2010 1:20:26 AM
CAD_U|CABEU|E4663|AIQ|20100716204059|BEU-30|||//12/21/2010 1:20:26 AM
CAD_U|CABEU|E4663|AIQ|20100716204059|BEU-30|||//12/21/2010 1:20:26 AM
CAD_U|CABEU|E4664|AIQ|20101106122820|BEU-31|||//12/21/2010 1:20:27 AM
CAD_U|CABEU|E4664|AIQ|20101106122820|BEU-31|||//12/21/2010 1:20:27 AM
CAD_U|CABEU|E4665|AIQ|20100612172022|BEU-30|||//12/21/2010 1:20:28 AM
CAD_U|CABEU|E4665|AIQ|20100612172022|BEU-30|||//12/21/2010 1:20:28 AM
CAD_U|CABEU|E4665|AIQ|20100612172022|BEU-30|||//12/21/2010 1:20:28 AM
CAD_U|CABEU|E4666|AIQ|20100621075236|BEU-30|||//12/21/2010 1:20:29 AM
CAD_U|CABEU|E4666|AIQ|20100621075236|BEU-30|||//12/21/2010 1:20:29 AM
CAD_U|CABEU|E4666|AIQ|20100621075236|BEU-30|||//12/21/2010 1:20:29 AM
CAD_U|CABEU|E4673|AIQ|20100627164624|BEU-30|||//12/21/2010 1:20:30 AM
